date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-02 | 1
2022-03-29 | 1
2008-12-31 | 1
2030-01-01 | 1
2011-06-15 | 0
2011-06-15 | 1000
2011-06-15 | 1000.1
2011-06-15 | 1001
2011-06-15 | 0.0001
2011-02-29 | 1
2012-02-29 | 1
2011-13-01 | 1
2011-00-10 | 1
2011-01-32 | 1
2011-01-00 | 1
2011-1-3 | 1
2011/01/03 | 1
20110103 | 1
2011-01-03 |
| 3
2011-01-03
2011-01-03 3
2011-01-03 | abc
2011-01-03 | 1.2.3
2011-01-03 | +1
2011-01-03 | 1e2
2011-01-03 |  2
 2011-01-03 | 2
2011-01-03 | 2 

2011-01-03 | 1 | 2
